symbol_x,date,title,source,text,join_symbol,symbol_y,open,high,low,close,volume,symbol,date_fund,market_cap,current_price,high_low,stock_pe,book_value,dividend_yield,roce,roe,face_value,return_label
ICICI Bank,2025-12-22,ICICI Bank revises credit card rules for 2026,Economic Times,"ICICI Bank revises credit card rules for 2026

",ICICIBANK,ICICIBANK.NS,1358.0,1371.300048828125,1354.800048828125,1368.5,9375294,ICICIBANK,2026-01-02,969099.0,1355.0,1500,19.6,433.0,0.81,7.61,17.8,2.0,0
ITC,2025-12-22,Bitcoin at $87K? What Indian investors must know,Economic Times,"Bitcoin at $87K? What Indian investors must know

",ITC,ITC.NS,401.6000061035156,403.6499938964844,401.20001220703125,402.70001220703125,6847871,,,,,,,,,,,,1
ITC,2025-12-22,Oracle's Larry Ellison offers $40.4 billion guarantee to beef up Paramount's Warner Bros bid,Economic Times,"Oracle's Larry Ellison offers $40.4 billion guarantee to beef up Paramount's Warner Bros bid

Oracle co-founder Larry Ellison has stepped ⁠in to personally guarantee $40.4 billion in Paramount Skydance's latest effort to pry Warner Bros Discovery away from selling its prized Hollywood assets to streaming giant Netflix.The guarantee, disclosed in a filing on Monday, seeks to allay the Warner Bros board's doubts about Paramount's financing and the lack ‌of full Ellison ‌family backing, which had pushed it toward the competing cash-and-stock offer from Netflix.Warner Bros shares rose nearly 4%, while Paramount added about 3%. Warner Bros ‌and Netflix did not immediately respond to requests for comment.Paramount said the amended terms do not change the $30-per-share all-cash offer even as the fight for Hollywood's sought-after assets heats up, with control of Warner Bros' vast library offering a decisive edge in the streaming wars.""Paramount remains in a precarious position and is making a last-ditch effort to avoid being ​left out in the shadows,"" said Paolo Pescatore, analyst at PP Foresight. ""The improved ​offer is a step in the right direction, but it is unlikely to be enough.""As part of ‌the revised terms, ‍Ellison also agreed not to revoke the family trust or transfer its assets during ‍the pendency of the transaction, the filing showed.Paramount said it has raised its ‌regulatory reverse termination fee to $5.8 billion from $5 billion to match the competing transaction and extended the expiration date of its tender offer to January 21, 2026. The bid follows Warner Bros asking its shareholders to reject the $108.4 billion offer from Paramount for the whole company, including cable TV assets, on doubts over its financing and the lack of a full guarantee from the Ellison family. But Warner Bros investors, including the fifth largest shareholder Harris Associates, have said they would be open to revised offers from Paramount if it presents a superior ‍bid and addresses issues with deal terms.REGULATORY SCRUTINYFor either suitor, winning shareholder support is only the first hurdle, as both deals would face intense antitrust scrutiny in the U.S. and Europe.Lawmakers from ‍both parties have ⁠raised concerns about consolidation in the ⁠media industry, and U.S. President Donald Trump has said he plans to weigh in on the transactions.A Paramount-Warner Bros combination would create a studio larger than industry leader Disney and combine two major television operators, a move some Democratic senators say would give one company control over ""almost everything Americans watch on TV.""A Netflix-Warner Bros tie-up would cement Netflix's dominance in streaming, creating a group with a combined 428 million subscribers. Netflix has said it would honor Warner Bros' theatrical commitments and argued the deal would benefit consumers by lowering costs through bundled offerings.Netflix co-CEO Ted Sarandos has said he is confident the deal would win regulatory approval, arguing it would avoid job cuts in an industry already struggling with uneven box-office returns.",ITC,ITC.NS,401.6000061035156,403.6499938964844,401.20001220703125,402.70001220703125,6847871,,,,,,,,,,,,1
Reliance Industries,2025-12-22,Groww launches backup trading portal to protect traders during outages,Economic Times,"Groww launches backup trading portal to protect traders during outages

Stock broking platform Groww on Monday said it has launched 'Groww Lite', a web-based emergency trading portal, to safeguard users during platform outages and technical glitches. The new portal enables users to close or exit their open trading positions even if the main Groww app or website is temporarily inaccessible during an outage, the stock broking platform said in a statement. The launch comes in the wake of recent large-scale internet disruptions, including a Cloudflare-related outage that impacted access to multiple digital services. By introducing Groww Lite, the company is creating a fail-safe channel for users to retain control over their trades during critical market hours, even under outages or technical glitches. The new trading platform is a secure, desktop and mobile web-based platform built specifically for emergency trade execution. Operating on a separate DNS infrastructure, it remains functional even when core platforms or external cloud services face disruption. ""We are continuously working to make our core platforms even more robust. Groww Lite is designed as a safety layer for our users, something they hopefully never need to use, but can depend on completely when they do,"" the company said in a statement.Groww Lite is designed for maximum resilience by bypassing Cloudflare and standard routing layers. This removes external dependencies, ensuring the platform remains reachable even if the main infrastructure faces a disruption.",RELIANCE,RELIANCE.NS,1573.5,1577.5,1565.300048828125,1575.4000244140625,10184852,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,0
Reliance Industries,2025-12-22,Gainers & Losers: Meesho among 7 stocks that hogged limelight on Monday,Economic Times,"Gainers & Losers: Meesho among 7 stocks that hogged limelight on Monday

Indian equities extended gains for a second day, led by IT stocks, with notable action in Persistent Systems, Jupiter Wagons, Shriram Finance and Hindustan Zinc, while Meesho and Reliance Power saw sharp declines.",RELIANCE,RELIANCE.NS,1573.5,1577.5,1565.300048828125,1575.4000244140625,10184852,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,0
Infosys,2025-12-22,IT stocks rally up to 4% after soft US labour data and benign inflation raise Fed rate cut hopes,Economic Times,"IT stocks rally up to 4% after soft US labour data and benign inflation raise Fed rate cut hopes

IT stocks jumped up to 4% as softer US labour data and easing inflation revived hopes of a Fed rate cut. The Nifty IT index rose over 2% for a fourth straight session, led by Persistent Systems, Infosys, Wipro and Tech Mahindra, as lower borrowing costs are expected to support global tech spending.",INFY,INFY.NS,1664.0,1693.199951171875,1664.0,1689.5999755859375,23098923,INFY,2026-01-02,665352.0,1641.0,1983,24.8,223.0,2.62,40.6,30.3,5.0,0
ICICI Bank,2025-12-22,"Bajaj Finance, Bank of Baroda among 7 top bets for 2026 by ICICI Direct",Economic Times,"Bajaj Finance, Bank of Baroda among 7 top bets for 2026 by ICICI Direct

ICICI Direct expects Indian equities to regain momentum on the back of an earnings recovery and supportive macro conditions, targeting the Nifty 50 at 29,500 by December 2026. The brokerage has identified seven high-conviction stock picks across banking, financials, telecom, IT, real estate and cement, citing valuation comfort and earnings visibility.",ICICIBANK,ICICIBANK.NS,1358.0,1371.300048828125,1354.800048828125,1368.5,9375294,ICICIBANK,2026-01-02,969099.0,1355.0,1500,19.6,433.0,0.81,7.61,17.8,2.0,0
ICICI Bank,2025-12-22,"Nifty to climb to 29,500 in 2026, ICICI Direct says, picks Bajaj Finance, Bank of Baroda among 7 top bets",Economic Times,"Nifty to climb to 29,500 in 2026, ICICI Direct says, picks Bajaj Finance, Bank of Baroda among 7 top bets

ICICI Direct projects a stronger phase for Indian equities, targeting the Nifty 50 at 29,500 by December 2026, supported by an earnings revival, favourable macro conditions and more reasonable valuations. The brokerage highlights select stock picks and sectors while maintaining a constructive medium-term outlook for the market.",ICICIBANK,ICICIBANK.NS,1358.0,1371.300048828125,1354.800048828125,1368.5,9375294,ICICIBANK,2026-01-02,969099.0,1355.0,1500,19.6,433.0,0.81,7.61,17.8,2.0,0
ITC,2025-12-22,"Bitcoin steady at $88K on thin liquidity ahead of US macro data, festive period; Ethereum above $3K. What’s next?",Economic Times,"Bitcoin steady at $88K on thin liquidity ahead of US macro data, festive period; Ethereum above $3K. What’s next?

Bitcoin steadied near $88,800 on Monday as holiday-season liquidity remained thin, while Ethereum held above $3,000. Traders await key US macro data, including GDP and jobless claims. BTC faces resistance at $90K, ETH eyes $3,150–$3,200, and altcoins showed mixed moves, keeping overall crypto market sentiment cautiously bullish.",ITC,ITC.NS,401.6000061035156,403.6499938964844,401.20001220703125,402.70001220703125,6847871,,,,,,,,,,,,1
Reliance Industries,2025-12-22,Why ADRs are prone to sudden price spikes? Feroze Azeez explains,Economic Times,"Why ADRs are prone to sudden price spikes? Feroze Azeez explains

Infosys American Depository Receipts saw a significant intraday surge. Experts attribute this spike primarily to derivative strategies and options trading mechanics. While the stock closed with a modest gain, reflecting underlying fundamentals, the dramatic intraday movement was largely driven by short gamma positions. Investors are advised to focus on end-of-day prices for a clearer picture of stock performance.",RELIANCE,RELIANCE.NS,1573.5,1577.5,1565.300048828125,1575.4000244140625,10184852,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,0
Reliance Industries,2025-12-22,"Cables & Wires industry enters a Rs 1.9-tn growth phase; KEI Industries, Polycab India top buys",Economic Times,"Cables & Wires industry enters a Rs 1.9-tn growth phase; KEI Industries, Polycab India top buys

India’s cables & wires industry is entering a multi-year growth phase, driven by infrastructure, renewables, railways, data centres and exports. With the market seen nearing Rs 1.9 trillion by FY30, companies like Polycab India and KEI Industries are well placed to benefit from strong demand visibility and resilient margins.",RELIANCE,RELIANCE.NS,1573.5,1577.5,1565.300048828125,1575.4000244140625,10184852,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,0
ICICI Bank,2025-12-22,"ICICI Prudential AMC shares rise another 2% on Day 2. Should you buy, sell or hold?",Economic Times,"ICICI Prudential AMC shares rise another 2% on Day 2. Should you buy, sell or hold?

ICICI AMC shares surged over 2% to an intraday high of Rs 2,645, extending their rally post a strong market debut. Brokerages like PL Capital and Centrum have issued Buy ratings, citing strong performance, superior equity yields, and robust revenue growth. The company's dominant position in equity AUM and expanding PMS/AIF platforms further bolster bullish outlooks.",ICICIBANK,ICICIBANK.NS,1358.0,1371.300048828125,1354.800048828125,1368.5,9375294,ICICIBANK,2026-01-02,969099.0,1355.0,1500,19.6,433.0,0.81,7.61,17.8,2.0,0
